,ID,Player
0,25403,Malik Beasley
1,25410,Davis Bertans
2,25419,Bojan Bogdanovic
3,25514,Stephen Curry
4,25575,Bryn Forbes
5,25585,Danilo Gallinari
6,25609,Danny Green
7,25627,Joe Harris
8,25629,Tobias Harris
9,25645,Buddy Hield
10,25664,Danuel House
11,25676,Kyrie Irving
12,25897,Otto Porter
13,25945,Landry Shamet
14,25998,Klay Thompson
15,26002,Karl-Anthony Towns
16,26026,T.J. Warren
