ID,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25496,20,20,26/11/2018,31-095,IND,@,UTA,W (+33),1,26:15:00,4,6,0.667,0,1,0,0,0,,1,2,3,11,4,0,0,0,8,18.4,17
25496,21,21,27/11/2018,31-096,IND,@,PHO,W (+5),1,32:09:00,3,9,0.333,0,1,0,5,8,0.625,1,4,5,11,1,0,3,1,11,11.9,2
25496,22,22,29/11/2018,31-098,IND,@,LAL,L (-8),1,26:39:00,3,12,0.25,1,4,0.25,2,2,1,0,3,3,4,4,0,0,1,9,9.1,-12
25496,23,23,1/12/2018,31-100,IND,@,SAC,L (-1),1,33:48:00,3,8,0.375,2,3,0.667,3,3,1,1,3,4,12,6,0,6,5,11,14.6,13
25496,24,24,4/12/2018,31-103,IND,,CHI,W (+6),1,35:06:00,6,7,0.857,3,4,0.75,8,8,1,0,8,8,3,0,0,2,1,23,22.6,13
25496,25,25,7/12/2018,31-106,IND,@,ORL,W (+22),1,26:19:00,1,5,0.2,0,1,0,0,0,,1,2,3,8,1,0,0,1,2,6.4,8
25496,26,26,8/12/2018,31-107,IND,,SAC,W (+10),1,31:55:00,5,12,0.417,2,6,0.333,2,2,1,2,1,3,6,0,0,0,1,14,13.1,7
25496,27,27,10/12/2018,31-109,IND,,WAS,W (+8),1,37:39:00,3,7,0.429,1,2,0.5,3,3,1,2,5,7,17,2,0,3,4,10,18.5,14
25496,28,28,12/12/2018,31-111,IND,,MIL,W (+16),1,29:23:00,1,3,0.333,1,3,0.333,0,0,,0,1,1,7,0,0,3,2,3,2.7,10
25496,29,29,14/12/2018,31-113,IND,@,PHI,W (+12),1,25:44:00,3,4,0.75,1,2,0.5,1,2,0.5,0,2,2,10,1,0,2,2,8,11.8,-4
25496,30,30,16/12/2018,31-115,IND,,NYK,W (+11),1,16:54,1,2,0.5,1,2,0.5,0,0,,0,3,3,5,0,0,1,5,3,3.4,-7
25496,31,31,18/12/2018,31-117,IND,,CLE,L (-1),1,29:20:00,2,6,0.333,1,2,0.5,0,0,,0,6,6,4,1,1,1,3,5,5.7,10
25496,32,32,19/12/2018,31-118,IND,@,TOR,L (-3),1,30:36:00,3,9,0.333,0,3,0,1,1,1,2,4,6,4,0,0,5,2,7,1.5,0
25496,33,33,21/12/2018,31-120,IND,@,BRK,W (+8),1,29:45:00,2,6,0.333,1,4,0.25,1,2,0.5,0,1,1,3,1,0,0,3,6,4.4,9
25496,34,34,23/12/2018,31-122,IND,,WAS,W (+16),1,21:56,5,11,0.455,2,5,0.4,0,0,,0,2,2,2,1,1,1,1,12,8.6,6
25496,35,35,26/12/2018,31-125,IND,@,ATL,W (+8),1,29:12:00,4,7,0.571,2,4,0.5,1,2,0.5,0,5,5,8,1,1,1,2,11,14.3,15
25496,36,36,28/12/2018,31-127,IND,,DET,W (+37),1,24:26:00,7,7,1,2,2,1,3,3,1,0,3,3,7,2,0,1,1,19,23.3,12
25496,37,37,31/12/2018,31-130,IND,,ATL,W (+8),1,28:31:00,4,7,0.571,1,2,0.5,3,3,1,0,4,4,6,2,0,0,3,12,14.9,11
25496,38,38,4/1/2019,31-134,IND,@,CHI,W (+3),1,24:58:00,2,5,0.4,2,3,0.667,0,0,,0,1,1,2,0,0,2,3,6,1.8,-5
